,title,type,origin,note,rate
131,Bakugan : Armored Alliance,Série TV,Œuvre originale,10.0,Très bon
132,Rebirth for You,Série TV,Jeu de carte,,
133,Neko no Rob,Série TV,Œuvre originale,10.0,Très bon
134,Girl Gaku ~Sei Girls Square Gakuin~,Série TV,Autre,10.0,Très bon
135,Puzzle & Dragon,Série TV,Jeu vidéo,10.0,Très bon
136,Da Yu Zhishui,Série TV,Œuvre originale,,
137,Zoids Wild Zero,Série TV,Projet transmédia,10.0,Très bon
138,Motto! Majime ni Fumajime Kaiketsu Zorori,Série TV,Livre,10.0,Très bon
139,Neko Konogoro,Série TV,Mascotte,1.0,Nul
140,Shimajirou no Wow!,Série TV,Œuvre originale,5.67,Moyen
141,Hanakappa,Série TV,Livre d'image,,
142,Watanuki-san Chi to,Série TV,Autre,,
143,Duel Masters King,Série TV,Œuvre originale,,
144,B Rappers Street,Série TV,Projet transmédia,5.5,Moyen
145,Go! Go! Atom,Série TV,Non défini,,
146,Shiawase Haitatsu Taneko,Série TV,Œuvre originale,,
147,Mitchiri Wanko! Anima~tion,Série TV,Mascotte,,
148,TV Yarou Nanaana : Kaibutsu Kraken wo Oe!,Série TV,Œuvre originale,6.5,Bon
149,Zhu Zhu Xia : Konglong Riji,Série TV,Non défini,10.0,Très bon
150,Egg Car,Série TV,Non défini,,
151,Kamiusagi Rope : Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,Série TV,Non défini,,
152,Hakushon Daimaou (2020),Série TV,Œuvre originale,7.0,Bon
153,Tomica Kizuna Gattai Earth Granner,Série TV,Jouets / Figurines,7.0,Bon
154,Marumaru Manul,Série TV,Manga,,
155,Aware! Meisaku-kun,Série TV,Œuvre originale,,
156,Chao Fan Chong Chong Dui,Série TV,Œuvre originale,,
157,Kaijuu Step Wandabada,Série TV,Non défini,,
158,Xi Yang Yang Yu Hui Tai Lang Zhi Qi Qu Wai Xing Ke,Série TV,Non défini,,
159,Poccolies,Série TV,Autre,3.0,Nul
160,Origami Ninja Koyankinte,Série TV,Œuvre originale,,
161,Neko Neko Nihonshi 5th Season,Série TV,Non défini,,
162,Norimono Man : Mobile Land no Car-kun,Série TV,Œuvre originale,,
163,Kung Fu Tu Yu Cai Bao Gou 2,Série TV,Non défini,,
164,Knyacki!,Série TV,Non défini,,
165,Jing-Ju Mao Zhi Jiao Ta Shi Di,Série TV,Non défini,,
